"P001001","P006001","P006002","P006003","P006005","P006008","P007010","H011001","H011002","H011003","H011004","H011006","H011009","P148B009","P148D017","PCT038016","PCT038017","PCT038018","PCT038019","NAME","state","county",
"7275","7275","6809","10","5","136","100","2970","2286","2245","0","0","25","0","0","33","0","13","1","Custer County","46","033",
"18741","18741","18121","132","19","69","112","7585","4684","4643","15","0","2","9","0","39","48","33","46","Davison County","46","035",
"6267","6267","5672","0","20","97","11","2586","1969","1908","0","2","16","0","4","18","0","0","0","Day County","46","037",
"4498","4498","4409","5","3","44","43","1843","1475","1463","0","0","4","0","0","15","10","2","6","Deuel County","46","039",
"5972","5972","1450","16","30","174","56","1863","1030","451","0","11","23","0","0","5","0","0","4","Dewey County","46","041",
"3458","3458","3402","0","0","5","18","1321","1070","1064","0","0","2","0","0","7","3","0","9","Douglas County","46","043",
"4367","4367","4350","3","4","4","17","1681","1378","1378","0","0","0","0","0","16","5","4","8","Edmunds County","46","045",
"7453","7453","6737","30","40","180","102","3127","2172","2068","0","13","29","0","0","0","18","4","0","Fall River County","46","047",
"2640","2640","2610","0","6","2","6","1014","826","822","0","0","0","0","0","6","4","2","2","Faulk County","46","049",
"7847","7847","7728","0","10","24","34","3116","2412","2407","0","0","0","0","0","22","4","25","8","Grant County","46","051",
"4792","4792","4461","7","9","47","42","2022","1510","1455","0","2","11","0","0","6","2","0","8","Gregory County","46","053",
"2196","2196","2117","0","14","8","3","870","669","659","0","4","2","0","0","16","0","4","4","Haakon County","46","055",
"5540","5540","5440","13","4","19","42","2048","1676","1662","2","0","3","0","0","17","7","9","4","Hamlin County","46","057",
"3741","3741","3709","2","7","11","12","1543","1143","1136","0","0","5","0","0","5","3","0","8","Hand County","46","059",
"3139","3139","3121","2","3","9","5","1115","883","883","0","0","0","0","0","3","0","3","0","Hanson County","46","061",
"1353","1353","1326","7","0","0","7","525","387","384","0","0","0","0","0","0","4","0","6","Harding County","46","063",
"16481","16481","14772","48","118","191","207","6512","4310","4150","7","8","34","0","18","91","34","38","20","Hughes County","46","065",
"8075","8075","7974","7","3","43","29","3190","2514","2510","0","0","2","0","0","2","3","18","15","Hutchinson County","46","067",
"1671","1671","1567","0","0","6","0","679","486","474","0","0","0","0","0","2","2","0","2","Hyde County","46","069",
"2930","2930","1457","11","10","103","8","945","601","456","0","0","36","0","0","0","0","0","4","Jackson County","46","071",
"2295","2295","2289","0","0","1","7","987","712","712","0","0","0","0","0","0","6","0","0","Jerauld County","46","073",
"1193","1193","1141","7","0","27","0","509","369","362","0","0","7","0","0","2","0","3","0","Jones County","46","075",
"5815","5815","5732","2","15","30","32","2406","1830","1811","0","2","2","0","0","22","8","5","5","Kingsbury County","46","077",
"11276","11276","10988","23","53","77","140","4372","3082","3025","0","0","22","0","5","17","4","34","22","Lake County","46","079",
"21802","21802","20906","33","68","244","442","8881","5755","5646","0","14","35","0","5","53","19","57","17","Lawrence County","46","081",
"24131","24131","23584","114","113","191","157","8782","6998","6943","22","7","7","0","0","262","78","125","77","Lincoln County","46","083",
"3895","3895","2551","2","8","85","1","1400","963","842","0","3","5","0","0","7","2","3","4","Lyman County","46","085",
"5832","5832","5775","0","5","25","53","2204","1738","1730","0","0","4","0","0","15","12","3","6","McCook County","46","087",
"2904","2904","2889","0","0","4","2","1227","1021","1021","0","0","0","0","0","2","0","0","0","McPherson County","46","089",
"4576","4576","4222","0","2","19","29","1844","1436","1398","0","0","3","0","0","7","0","0","1","Marshall County","46","091",
"24253","24253","22449","331","169","573","435","8805","6006","5848","6","0","69","5","3","93","24","29","19","Meade County","46","093",
"2083","2083","936","0","3","52","41","694","451","311","0","0","8","0","0","2","0","0","0","Mellette County","46","095",
"2884","2884","2859","7","1","12","20","1212","926","925","0","1","0","0","0","12","2","0","2","Miner County","46","097",
"148281","148281","137596","2181","1585","2465","3087","57996","37512","36774","179","173","140","51","37","1050","463","339","184","Minnehaha County","46","099",
"6595","6595","5581","19","67","156","56","2526","1832","1701","0","4","24","0","0","19","9","6","15","Moody County","46","101",
"88565","88565","76814","677","914","2707","2335","34641","22931","21896","115","81","246","7","33","367","186","157","212","Pennington County","46","103",
"3363","3363","3239","3","13","34","3","1429","1095","1080","0","3","5","0","0","3","10","1","3","Perkins County","46","105",
